Country,Clicks,Impressions,CTR,Position
United States,247,59820,0.41%,8.61
India,7,137,5.11%,10.26
Mexico,1,132,0.76%,9.77
Pakistan,1,65,1.54%,7.78
Philippines,1,57,1.75%,11.54
Nigeria,1,19,5.26%,10
Canada,0,207,0%,6.45
United Kingdom,0,184,0%,9.03
France,0,153,0%,6.54
Brazil,0,145,0%,7.09
Germany,0,123,0%,7.08
Vietnam,0,65,0%,12.92
Argentina,0,64,0%,5.97
Italy,0,63,0%,9.02
Colombia,0,57,0%,8.68
Spain,0,50,0%,9.92
Netherlands,0,42,0%,5.74
Indonesia,0,39,0%,14.41
Russia,0,38,0%,9.45
Morocco,0,28,0%,21.68
Venezuela,0,27,0%,6
South Korea,0,27,0%,9.33
Poland,0,26,0%,6.69
Ukraine,0,26,0%,7.15
Bangladesh,0,25,0%,17.12
Malaysia,0,22,0%,13.91
Australia,0,21,0%,6.33
Bulgaria,0,18,0%,10.78
South Africa,0,17,0%,8.24
Ecuador,0,17,0%,14.65
Portugal,0,15,0%,8.4
Estonia,0,14,0%,4.79
China,0,14,0%,4.86
United Arab Emirates,0,13,0%,5.85
Japan,0,13,0%,6.38
Turkey,0,12,0%,4.67
Chile,0,11,0%,7.45
Belgium,0,11,0%,7.55
Ireland,0,11,0%,9.27
Hong Kong,0,11,0%,9.36
Thailand,0,11,0%,10.27
Dominican Republic,0,10,0%,13.3
Egypt,0,10,0%,16.4
Austria,0,9,0%,6.44
Saudi Arabia,0,9,0%,9.11
Peru,0,8,0%,4.88
Belarus,0,8,0%,5.5
Cameroon,0,8,0%,6.5
Belize,0,8,0%,9.12
Denmark,0,8,0%,11.25
Switzerland,0,7,0%,6.14
Czechia,0,6,0%,6
Taiwan,0,6,0%,7
Finland,0,5,0%,4.2
Unknown Region,0,5,0%,6
Romania,0,5,0%,6.2
Jamaica,0,5,0%,7
Nicaragua,0,5,0%,7.2
Puerto Rico,0,5,0%,8
Sweden,0,5,0%,19.8
Honduras,0,4,0%,5.25
Nepal,0,4,0%,5.25
Algeria,0,4,0%,5.5
Iran,0,4,0%,5.5
Greece,0,4,0%,6
Georgia,0,4,0%,6.25
Singapore,0,4,0%,6.5
Ethiopia,0,4,0%,7.25
Jordan,0,4,0%,8.5
Kenya,0,4,0%,8.5
Uruguay,0,4,0%,8.5
Iraq,0,4,0%,12
Hungary,0,4,0%,12.75
Ghana,0,3,0%,3.67
Guyana,0,3,0%,3.67
Barbados,0,3,0%,4
Costa Rica,0,3,0%,4
Trinidad & Tobago,0,3,0%,4.67
Norway,0,3,0%,5.67
Cyprus,0,3,0%,7.67
El Salvador,0,3,0%,9.33
New Zealand,0,3,0%,10.67
Qatar,0,3,0%,10.67
Paraguay,0,3,0%,12.67
Tanzania,0,3,0%,13.33
Kosovo,0,3,0%,14
Oman,0,3,0%,17
Uzbekistan,0,2,0%,1
Croatia,0,2,0%,3.5
Guatemala,0,2,0%,4.5
Panama,0,2,0%,4.5
Slovakia,0,2,0%,4.5
Lithuania,0,2,0%,5.5
Kazakhstan,0,2,0%,6
Serbia,0,2,0%,6.5
Israel,0,2,0%,7
Moldova,0,2,0%,7
Palestine,0,2,0%,7
Cayman Islands,0,2,0%,8
Papua New Guinea,0,2,0%,9
Northern Mariana Islands,0,2,0%,10
Bolivia,0,1,0%,2
Cuba,0,1,0%,2
Yemen,0,1,0%,2
Bosnia & Herzegovina,0,1,0%,3
Madagascar,0,1,0%,3
Azerbaijan,0,1,0%,5
Burkina Faso,0,1,0%,5
Benin,0,1,0%,6
Mauritius,0,1,0%,6
Albania,0,1,0%,8
Bahamas,0,1,0%,8
Laos,0,1,0%,8
Senegal,0,1,0%,8
Guam,0,1,0%,9
Lebanon,0,1,0%,9
Slovenia,0,1,0%,9
U.S. Virgin Islands,0,1,0%,9
Turks & Caicos Islands,0,1,0%,10
Eritrea,0,1,0%,11
Samoa,0,1,0%,11
Montenegro,0,1,0%,13
Latvia,0,1,0%,14
Kuwait,0,1,0%,24
Kyrgyzstan,0,1,0%,32
